cluster	ORF	gene_name
transcription and mRNA processing_GO_30_2_mut	YAL019W	FUN30
transcription from RNA polymerase II promoter	YAL019W	FUN30
transcription from RNA polymerase II promoter_GO_15_3_mut	YAL019W	FUN30
transcription from RNA polymerase II promoter_GO_30_1_all	YAL019W	FUN30
transcription from RNA polymerase II promoter_GO_30_1_mut	YAL019W	FUN30
whole_library	YAL019W	FUN30
whole_library_15_22_mut	YAL019W	FUN30
whole_library_30_14_mut	YAL019W	FUN30
budding	YAL020C	ATS1
cytoskeleton and microtubules	YAL020C	ATS1
cytoskeleton organization	YAL020C	ATS1
ribosomes and translation	YAL020C	ATS1
ribosomes and translation_GO_30_1_all	YAL020C	ATS1
RNA modification_GO_15_1_all	YAL020C	ATS1
transcription and mRNA processing	YAL020C	ATS1
transcription and mRNA processing_GO_15_8_all	YAL020C	ATS1
whole_library	YAL020C	ATS1
cell cycle	YAL021C	CCR4
cell cycle_GO_30_2_all	YAL021C	CCR4
DNA-templated transcription, elongation	YAL021C	CCR4
mitotic cell cycle	YAL021C	CCR4
mitotic cell cycle_GO_15_1_all	YAL021C	CCR4
regulation of cell cycle	YAL021C	CCR4
RNA catabolic process	YAL021C	CCR4
transcription	YAL021C	CCR4
transcription and mRNA processing	YAL021C	CCR4
transcription and mRNA processing_GO_30_2_all	YAL021C	CCR4
transcription from RNA polymerase II promoter	YAL021C	CCR4
whole_library	YAL021C	CCR4
whole_library_30_3_all	YAL021C	CCR4
endomembrane system	YAL023C	PMT2
proteolysis involved in cellular protein catabolic process	YAL023C	PMT2
proteolysis involved in cellular protein catabolic process_GO_15_1_all	YAL023C	PMT2
sig_Gsp1_GI	YAL023C	PMT2
sig_Gsp1_GI_30_4_all	YAL023C	PMT2
sig_Gsp1_GI_30_5_mut	YAL023C	PMT2
whole_library	YAL023C	PMT2
budding	YAL024C	LTE1
cell cycle	YAL024C	LTE1
chromatin	YAL024C	LTE1
chromatin_GO_15_1_all	YAL024C	LTE1
chromosome segregation	YAL024C	LTE1
chromosome segregation_GO_15_1_mut	YAL024C	LTE1
chromosome segregation_GO_30_1_all	YAL024C	LTE1
chromosome segregation_GO_30_1_mut	YAL024C	LTE1
cytoskeleton and microtubules	YAL024C	LTE1
mitotic cell cycle	YAL024C	LTE1
mitotic cell cycle_GO_15_1_all	YAL024C	LTE1
mitotic cell cycle_GO_30_1_mut	YAL024C	LTE1
organelle fission	YAL024C	LTE1
regulation of cell cycle	YAL024C	LTE1
regulation of cell cycle_GO_30_1_all	YAL024C	LTE1
regulation of cell cycle_GO_30_1_mut	YAL024C	LTE1
sig_Gsp1_GI	YAL024C	LTE1
sig_Gsp1_GI_30_2_all	YAL024C	LTE1
whole_library	YAL024C	LTE1
endomembrane system	YAL026C	DRS2
endomembrane system_GO_30_3_all	YAL026C	DRS2
ribosomal small subunit biogenesis	YAL026C	DRS2
ribosomal small subunit biogenesis_GO_15_1_all	YAL026C	DRS2
ribosomes and translation	YAL026C	DRS2
ribosomes and translation_GO_30_1_all	YAL026C	DRS2
sig_Gsp1_GI	YAL026C	DRS2
sig_Gsp1_GI_15_1_mut	YAL026C	DRS2
sig_Gsp1_GI_30_3_mut	YAL026C	DRS2
whole_library	YAL026C	DRS2
cellular response to DNA damage stimulus	YAL027W	SAW1
cellular response to DNA damage stimulus_GO_15_1_all	YAL027W	SAW1
cellular response to DNA damage stimulus_GO_30_1_mut	YAL027W	SAW1
cellular response to DNA damage stimulus_GO_30_3_all	YAL027W	SAW1
DNA repair	YAL027W	SAW1
DNA repair_GO_15_1_all	YAL027W	SAW1
DNA repair_GO_30_1_mut	YAL027W	SAW1
whole_library	YAL027W	SAW1
whole_library_30_3_all	YAL027W	SAW1
cell cycle	YAL040C	CLN3
cell cycle_GO_15_3_all	YAL040C	CLN3
mitotic cell cycle	YAL040C	CLN3
regulation of cell cycle	YAL040C	CLN3
whole_library	YAL040C	CLN3
endomembrane system	YAL042W	ERV46
endomembrane system_GO_15_3_mut	YAL042W	ERV46
endomembrane system_GO_30_3_all	YAL042W	ERV46
whole_library	YAL042W	ERV46
endomembrane system	YAL048C	GEM1
regulation of organelle organization_GO_15_1_all	YAL048C	GEM1
whole_library	YAL048C	GEM1
chromatin	YAL051W	OAF1
chromatin organization	YAL051W	OAF1
chromatin organization_GO_30_1_mut	YAL051W	OAF1
chromatin organization_GO_30_2_all	YAL051W	OAF1
chromatin_GO_30_3_mut	YAL051W	OAF1
DNA binding_GO_15_3_mut	YAL051W	OAF1
transcription	YAL051W	OAF1
transcription and mRNA processing	YAL051W	OAF1
transcription and mRNA processing_GO_30_2_all	YAL051W	OAF1
transcription and mRNA processing_GO_30_2_mut	YAL051W	OAF1
transcription from RNA polymerase II promoter	YAL051W	OAF1
transcription from RNA polymerase II promoter_GO_30_1_all	YAL051W	OAF1
transcription from RNA polymerase II promoter_GO_30_1_mut	YAL051W	OAF1
transcription_GO_15_1_mut	YAL051W	OAF1
transcription_GO_15_2_all	YAL051W	OAF1
transcription_GO_30_4_all	YAL051W	OAF1
whole_library	YAL051W	OAF1
endomembrane system	YAL053W	FLC2
nucleobase-containing compound transport	YAL053W	FLC2
nucleobase-containing compound transport_GO_15_1_mut	YAL053W	FLC2
nucleobase-containing compound transport_GO_15_2_all	YAL053W	FLC2
whole_library	YAL053W	FLC2
protein modification by small protein conjugation or removal	YAL055W	PEX22
protein modification by small protein conjugation or removal_GO_15_1_mut	YAL055W	PEX22
protein modification by small protein conjugation or removal_GO_30_1_mut	YAL055W	PEX22
protein targeting	YAL055W	PEX22
protein targeting_GO_15_2_mut	YAL055W	PEX22
protein targeting_GO_30_1_mut	YAL055W	PEX22
sig_Gsp1_GI	YAL055W	PEX22
sig_Gsp1_GI_15_11_all	YAL055W	PEX22
sig_Gsp1_GI_30_2_mut	YAL055W	PEX22
sig_Gsp1_GI_30_3_all	YAL055W	PEX22
whole_library	YAL055W	PEX22
endomembrane system	YAR002C-A	ERP1
whole_library	YAR002C-A	ERP1
whole_library_30_5_all	YAR002C-A	ERP1
cellular response to DNA damage stimulus	YAR002W	NUP60
cellular response to DNA damage stimulus_GO_15_1_all	YAR002W	NUP60
cellular response to DNA damage stimulus_GO_15_3_mut	YAR002W	NUP60
cellular response to DNA damage stimulus_GO_30_1_mut	YAR002W	NUP60
cellular response to DNA damage stimulus_GO_30_3_all	YAR002W	NUP60
chromatin	YAR002W	NUP60
chromatin organization	YAR002W	NUP60
chromatin organization_GO_15_1_mut	YAR002W	NUP60
chromatin organization_GO_15_5_all	YAR002W	NUP60
chromatin organization_GO_30_1_mut	YAR002W	NUP60
chromatin organization_GO_30_2_all	YAR002W	NUP60
chromatin_GO_15_5_all	YAR002W	NUP60
chromatin_GO_30_2_all	YAR002W	NUP60
DNA repair	YAR002W	NUP60
DNA repair_GO_15_1_all	YAR002W	NUP60
DNA repair_GO_15_3_mut	YAR002W	NUP60
DNA repair_GO_30_1_mut	YAR002W	NUP60
endomembrane system	YAR002W	NUP60
endomembrane system_GO_15_8_all	YAR002W	NUP60
endomembrane system_GO_30_3_all	YAR002W	NUP60
lipid binding_GO_15_2_all	YAR002W	NUP60
lipids_GO_15_2_all	YAR002W	NUP60
nuclear transport	YAR002W	NUP60
nuclear transport and organization	YAR002W	NUP60
nuclear transport and organization_GO_15_1_mut	YAR002W	NUP60
nuclear transport and organization_GO_15_2_all	YAR002W	NUP60
nuclear transport and organization_GO_30_1_all	YAR002W	NUP60
nuclear transport_GO_15_1_mut	YAR002W	NUP60
nuclear transport_GO_15_2_all	YAR002W	NUP60
nucleobase-containing compound transport	YAR002W	NUP60
nucleobase-containing compound transport_GO_15_1_mut	YAR002W	NUP60
nucleobase-containing compound transport_GO_15_2_all	YAR002W	NUP60
peptidyl-amino acid modification_GO_15_2_mut	YAR002W	NUP60
protein modification by small protein conjugation or removal	YAR002W	NUP60
protein modification by small protein conjugation or removal_GO_15_1_mut	YAR002W	NUP60
protein modification by small protein conjugation or removal_GO_30_1_mut	YAR002W	NUP60
protein targeting	YAR002W	NUP60
protein targeting_GO_15_3_all	YAR002W	NUP60
protein targeting_GO_30_1_all	YAR002W	NUP60
protein targeting_GO_30_1_mut	YAR002W	NUP60
response to heat	YAR002W	NUP60
response to heat_GO_15_1_all	YAR002W	NUP60
response to heat_GO_15_1_mut	YAR002W	NUP60
response to heat_GO_30_1_all	YAR002W	NUP60
whole_library	YAR002W	NUP60
whole_library_15_23_all	YAR002W	NUP60
whole_library_30_3_all	YAR002W	NUP60
chromatin	YAR003W	SWD1
chromatin organization	YAR003W	SWD1
chromatin organization_GO_15_1_mut	YAR003W	SWD1
chromatin organization_GO_30_1_mut	YAR003W	SWD1
chromatin_GO_30_2_all	YAR003W	SWD1
chromatin_GO_30_3_mut	YAR003W	SWD1
histone modification	YAR003W	SWD1
histone modification_GO_15_1_mut	YAR003W	SWD1
histone modification_GO_30_1_all	YAR003W	SWD1
telomere organization	YAR003W	SWD1
telomere organization_GO_15_1_mut	YAR003W	SWD1
whole_library	YAR003W	SWD1
budding	YAR014C	BUD14
budding_GO_30_1_mut	YAR014C	BUD14
cell cycle	YAR014C	BUD14
cytoskeleton and microtubules	YAR014C	BUD14
cytoskeleton organization	YAR014C	BUD14
cytoskeleton organization_GO_15_1_mut	YAR014C	BUD14
cytoskeleton organization_GO_15_3_all	YAR014C	BUD14
cytoskeleton organization_GO_30_1_all	YAR014C	BUD14
cytoskeleton organization_GO_30_1_mut	YAR014C	BUD14
regulation of cell cycle	YAR014C	BUD14
regulation of cell cycle_GO_15_2_mut	YAR014C	BUD14
regulation of cell cycle_GO_30_1_mut	YAR014C	BUD14
regulation of organelle organization_GO_15_1_all	YAR014C	BUD14
sig_Gsp1_GI	YAR014C	BUD14
sig_Gsp1_GI_15_5_all	YAR014C	BUD14
sig_Gsp1_GI_15_6_mut	YAR014C	BUD14
sig_Gsp1_GI_30_2_mut	YAR014C	BUD14
sig_Gsp1_GI_30_4_all	YAR014C	BUD14
whole_library	YAR014C	BUD14
cell cycle	YAR018C	KIN3
chromatin	YAR018C	KIN3
chromosome segregation	YAR018C	KIN3
chromosome segregation_GO_15_1_mut	YAR018C	KIN3
chromosome segregation_GO_30_1_all	YAR018C	KIN3
chromosome segregation_GO_30_1_mut	YAR018C	KIN3
cytoskeleton and microtubules	YAR018C	KIN3
sig_Gsp1_GI	YAR018C	KIN3
sig_Gsp1_GI_15_5_all	YAR018C	KIN3
sig_Gsp1_GI_15_6_mut	YAR018C	KIN3
sig_Gsp1_GI_30_2_mut	YAR018C	KIN3
sig_Gsp1_GI_30_4_all	YAR018C	KIN3
whole_library	YAR018C	KIN3
budding	YBL007C	SLA1
cytoskeleton and microtubules	YBL007C	SLA1
cytoskeleton organization	YBL007C	SLA1
cytoskeleton organization_GO_15_1_mut	YBL007C	SLA1
cytoskeleton organization_GO_30_1_mut	YBL007C	SLA1
cytoskeleton_GO_15_2_mut	YBL007C	SLA1
sig_Gsp1_GI	YBL007C	SLA1
sig_Gsp1_GI_15_3_mut	YBL007C	SLA1
sig_Gsp1_GI_30_1_mut	YBL007C	SLA1
whole_library	YBL007C	SLA1
chromatin	YBL008W	HIR1
chromatin organization	YBL008W	HIR1
chromatin_GO_15_3_mut	YBL008W	HIR1
chromatin_GO_15_5_all	YBL008W	HIR1
chromatin_GO_30_2_all	YBL008W	HIR1
chromosome	YBL008W	HIR1
chromosome_GO_30_1_mut	YBL008W	HIR1
chromosome_GO_30_2_all	YBL008W	HIR1
DNA-templated transcription, elongation	YBL008W	HIR1
DNA-templated transcription, elongation_GO_15_1_all	YBL008W	HIR1
transcription	YBL008W	HIR1
transcription and mRNA processing	YBL008W	HIR1
transcription from RNA polymerase II promoter	YBL008W	HIR1
transcription from RNA polymerase II promoter_GO_30_1_all	YBL008W	HIR1
whole_library	YBL008W	HIR1
endomembrane system	YBL011W	SCT1
lipids_GO_15_2_all	YBL011W	SCT1
whole_library	YBL011W	SCT1
whole_library_30_1_all	YBL011W	SCT1
endomembrane system	YBL017C	PEP1
protein targeting	YBL017C	PEP1
protein targeting_GO_15_2_mut	YBL017C	PEP1
protein targeting_GO_30_1_all	YBL017C	PEP1
protein targeting_GO_30_1_mut	YBL017C	PEP1
whole_library	YBL017C	PEP1
DNA binding_GO_15_3_mut	YBL021C	HAP3
transcription	YBL021C	HAP3
transcription and mRNA processing	YBL021C	HAP3
transcription and mRNA processing_GO_15_3_all	YBL021C	HAP3
transcription and mRNA processing_GO_30_2_all	YBL021C	HAP3
transcription from RNA polymerase II promoter	YBL021C	HAP3
transcription from RNA polymerase II promoter_GO_30_1_all	YBL021C	HAP3
transcription_GO_15_2_all	YBL021C	HAP3
transcription_GO_30_4_all	YBL021C	HAP3
whole_library	YBL021C	HAP3
ribosomes and translation	YBL024W	NCL1
RNA modification_GO_15_1_mut	YBL024W	NCL1
transcription and mRNA processing	YBL024W	NCL1
transcription and mRNA processing_GO_30_1_all	YBL024W	NCL1
whole_library	YBL024W	NCL1
whole_library_15_24_mut	YBL024W	NCL1
whole_library_30_14_mut	YBL024W	NCL1
cytoplasmic translation	YBL027W	RPL19B
ribosome	YBL027W	RPL19B
ribosome_GO_15_1_all	YBL027W	RPL19B
ribosomes and translation	YBL027W	RPL19B
ribosomes and translation_GO_30_1_all	YBL027W	RPL19B
structural constituent of ribosome	YBL027W	RPL19B
whole_library	YBL027W	RPL19B
chromatin	YBL032W	HEK2
chromosome	YBL032W	HEK2
chromosome_GO_30_1_mut	YBL032W	HEK2
telomere organization	YBL032W	HEK2
telomere organization_GO_15_1_mut	YBL032W	HEK2
transcription and mRNA processing	YBL032W	HEK2
transcription and mRNA processing_GO_30_2_all	YBL032W	HEK2
whole_library	YBL032W	HEK2
whole_library	YBL036C	YBL036C
whole_library_30_3_all	YBL036C	YBL036C
cell cycle	YBL046W	PSY4
cell cycle_GO_15_3_all	YBL046W	PSY4
cellular response to DNA damage stimulus	YBL046W	PSY4
cellular response to DNA damage stimulus_GO_30_1_mut	YBL046W	PSY4
regulation of cell cycle	YBL046W	PSY4
regulation of cell cycle_GO_30_1_mut	YBL046W	PSY4
whole_library	YBL046W	PSY4
budding	YBL047C	EDE1
budding_GO_30_1_mut	YBL047C	EDE1
cell cycle	YBL047C	EDE1
cytoskeleton and microtubules	YBL047C	EDE1
regulation of cell cycle	YBL047C	EDE1
regulation of cell cycle_GO_15_2_mut	YBL047C	EDE1
regulation of cell cycle_GO_30_1_all	YBL047C	EDE1
regulation of cell cycle_GO_30_1_mut	YBL047C	EDE1
sig_Gsp1_GI	YBL047C	EDE1
sig_Gsp1_GI_15_4_mut	YBL047C	EDE1
sig_Gsp1_GI_30_1_mut	YBL047C	EDE1
whole_library	YBL047C	EDE1
whole_library_15_14_mut	YBL047C	EDE1
whole_library_30_12_mut	YBL047C	EDE1
cell cycle	YBL051C	PIN4
cellular response to DNA damage stimulus	YBL051C	PIN4
mitotic cell cycle	YBL051C	PIN4
regulation of cell cycle	YBL051C	PIN4
regulation of cell cycle_GO_30_1_all	YBL051C	PIN4
transcription and mRNA processing	YBL051C	PIN4
transcription and mRNA processing_GO_15_8_all	YBL051C	PIN4
whole_library	YBL051C	PIN4
whole_library_30_1_all	YBL051C	PIN4
chromatin	YBL052C	SAS3
chromatin organization	YBL052C	SAS3
chromatin_GO_15_3_mut	YBL052C	SAS3
histone modification	YBL052C	SAS3
histone modification_GO_15_1_all	YBL052C	SAS3
histone modification_GO_30_1_all	YBL052C	SAS3
whole_library	YBL052C	SAS3
whole_library_30_1_all	YBL052C	SAS3
budding	YBL058W	SHP1
budding_GO_30_1_mut	YBL058W	SHP1
cell cycle	YBL058W	SHP1
cell cycle_GO_15_9_mut	YBL058W	SHP1
cell cycle_GO_30_3_mut	YBL058W	SHP1
chromatin	YBL058W	SHP1
chromatin_GO_15_1_all	YBL058W	SHP1
chromosome segregation	YBL058W	SHP1
chromosome segregation_GO_15_1_mut	YBL058W	SHP1
chromosome segregation_GO_30_1_all	YBL058W	SHP1
chromosome segregation_GO_30_1_mut	YBL058W	SHP1
cytoskeleton and microtubules	YBL058W	SHP1
proteolysis involved in cellular protein catabolic process	YBL058W	SHP1
proteolysis involved in cellular protein catabolic process_GO_15_1_all	YBL058W	SHP1
proteolysis involved in cellular protein catabolic process_GO_15_2_mut	YBL058W	SHP1
sig_Gsp1_GI	YBL058W	SHP1
sig_Gsp1_GI_15_1_all	YBL058W	SHP1
sig_Gsp1_GI_30_2_mut	YBL058W	SHP1
sig_Gsp1_GI_30_3_all	YBL058W	SHP1
whole_library	YBL058W	SHP1
budding	YBL061C	SKT5
cytoskeleton and microtubules	YBL061C	SKT5
whole_library	YBL061C	SKT5
whole_library	YBL066C	SEF1
whole_library	YBL067C	UBP13
cytoplasmic translation	YBL072C	RPS8A
cytoplasmic translation_GO_15_1_all	YBL072C	RPS8A
ribosomal small subunit biogenesis	YBL072C	RPS8A
ribosomal small subunit biogenesis_GO_15_1_all	YBL072C	RPS8A
ribosome	YBL072C	RPS8A
ribosome_GO_15_1_all	YBL072C	RPS8A
ribosomes and translation	YBL072C	RPS8A
ribosomes and translation_GO_15_2_mut	YBL072C	RPS8A
structural constituent of ribosome	YBL072C	RPS8A
transcription and mRNA processing	YBL072C	RPS8A
transcription and mRNA processing_GO_15_1_all	YBL072C	RPS8A
transcription and mRNA processing_GO_30_1_all	YBL072C	RPS8A
whole_library	YBL072C	RPS8A
protein targeting	YBL075C	SSA3
protein targeting_GO_30_1_all	YBL075C	SSA3
proteolysis involved in cellular protein catabolic process	YBL075C	SSA3
whole_library	YBL075C	SSA3
whole_library_30_5_all	YBL075C	SSA3
protein targeting	YBL078C	ATG8
protein targeting_GO_30_1_all	YBL078C	ATG8
whole_library	YBL078C	ATG8
cell cycle	YBL079W	NUP170
cell cycle_GO_15_3_all	YBL079W	NUP170
cell cycle_GO_15_9_mut	YBL079W	NUP170
cell cycle_GO_30_3_mut	YBL079W	NUP170
chromatin	YBL079W	NUP170
chromatin organization	YBL079W	NUP170
chromatin organization_GO_15_1_mut	YBL079W	NUP170
chromatin organization_GO_15_5_all	YBL079W	NUP170
chromatin organization_GO_30_1_mut	YBL079W	NUP170
chromatin organization_GO_30_2_all	YBL079W	NUP170
chromatin_GO_15_5_all	YBL079W	NUP170
chromatin_GO_15_7_mut	YBL079W	NUP170
chromatin_GO_30_2_all	YBL079W	NUP170
chromatin_GO_30_3_mut	YBL079W	NUP170
chromosome segregation	YBL079W	NUP170
chromosome segregation_GO_15_1_all	YBL079W	NUP170
chromosome segregation_GO_15_1_mut	YBL079W	NUP170
chromosome segregation_GO_30_1_all	YBL079W	NUP170
chromosome segregation_GO_30_1_mut	YBL079W	NUP170
cytoskeleton and microtubules	YBL079W	NUP170
cytoskeleton and microtubules_GO_15_2_mut	YBL079W	NUP170
cytoskeleton and microtubules_GO_15_3_all	YBL079W	NUP170
cytoskeleton and microtubules_GO_30_3_all	YBL079W	NUP170
endomembrane system	YBL079W	NUP170
endomembrane system_GO_15_3_mut	YBL079W	NUP170
endomembrane system_GO_15_8_all	YBL079W	NUP170
endomembrane system_GO_30_3_all	YBL079W	NUP170
nuclear transport	YBL079W	NUP170
nuclear transport and organization	YBL079W	NUP170
nuclear transport and organization_GO_15_1_mut	YBL079W	NUP170
nuclear transport and organization_GO_15_3_all	YBL079W	NUP170
nuclear transport and organization_GO_30_1_all	YBL079W	NUP170
nuclear transport_GO_15_1_all	YBL079W	NUP170
nuclear transport_GO_15_1_mut	YBL079W	NUP170
nucleus organization	YBL079W	NUP170
nucleus organization_GO_15_1_all	YBL079W	NUP170
nucleus organization_GO_15_1_mut	YBL079W	NUP170
protein targeting	YBL079W	NUP170
protein targeting_GO_15_2_mut	YBL079W	NUP170
protein targeting_GO_15_3_all	YBL079W	NUP170
protein targeting_GO_30_1_all	YBL079W	NUP170
protein targeting_GO_30_1_mut	YBL079W	NUP170
sig_Gsp1_GI	YBL079W	NUP170
sig_Gsp1_GI_15_4_mut	YBL079W	NUP170
sig_Gsp1_GI_15_9_all	YBL079W	NUP170
sig_Gsp1_GI_30_1_all	YBL079W	NUP170
sig_Gsp1_GI_30_1_mut	YBL079W	NUP170
whole_library	YBL079W	NUP170
whole_library_15_14_mut	YBL079W	NUP170
whole_library_15_36_all	YBL079W	NUP170
whole_library_30_12_mut	YBL079W	NUP170
whole_library_30_5_all	YBL079W	NUP170
whole_library	YBL081W	YBL081W
whole_library_30_3_all	YBL081W	YBL081W
endomembrane system	YBL082C	ALG3
whole_library	YBL082C	ALG3
budding	YBL085W	BOI1
whole_library	YBL085W	BOI1
whole_library	YBL086C	YBL086C
cytoplasmic translation	YBL087C	RPL23A
ribosome	YBL087C	RPL23A
ribosomes and translation	YBL087C	RPL23A
ribosomes and translation_GO_30_1_all	YBL087C	RPL23A
structural constituent of ribosome	YBL087C	RPL23A
whole_library	YBL087C	RPL23A
cellular response to DNA damage stimulus	YBL088C	TEL1
cellular response to DNA damage stimulus_GO_30_1_mut	YBL088C	TEL1
chromatin	YBL088C	TEL1
chromatin organization	YBL088C	TEL1
chromatin organization_GO_15_1_mut	YBL088C	TEL1
chromatin organization_GO_30_1_mut	YBL088C	TEL1
chromatin organization_GO_30_2_all	YBL088C	TEL1
DNA binding_GO_15_3_mut	YBL088C	TEL1
DNA repair	YBL088C	TEL1
DNA repair_GO_15_1_all	YBL088C	TEL1
DNA repair_GO_15_3_mut	YBL088C	TEL1
DNA repair_GO_30_1_mut	YBL088C	TEL1
histone modification	YBL088C	TEL1
histone modification_GO_15_1_mut	YBL088C	TEL1
histone modification_GO_30_1_all	YBL088C	TEL1
telomere organization	YBL088C	TEL1
telomere organization_GO_15_1_mut	YBL088C	TEL1
whole_library	YBL088C	TEL1
whole_library	YBL101C	ECM21
whole_library_30_5_all	YBL101C	ECM21
DNA binding_GO_15_3_mut	YBL103C	RTG3
nuclear transport	YBL103C	RTG3
nuclear transport and organization	YBL103C	RTG3
nuclear transport and organization_GO_15_2_all	YBL103C	RTG3
nuclear transport and organization_GO_30_1_all	YBL103C	RTG3
nuclear transport_GO_15_1_mut	YBL103C	RTG3
nuclear transport_GO_15_2_all	YBL103C	RTG3
protein targeting	YBL103C	RTG3
protein targeting_GO_30_1_all	YBL103C	RTG3
protein targeting_GO_30_1_mut	YBL103C	RTG3
transcription	YBL103C	RTG3
transcription and mRNA processing	YBL103C	RTG3
transcription and mRNA processing_GO_15_7_all	YBL103C	RTG3
transcription from RNA polymerase II promoter	YBL103C	RTG3
transcription_GO_15_2_all	YBL103C	RTG3
transcription_GO_30_4_all	YBL103C	RTG3
whole_library	YBL103C	RTG3
whole_library_30_5_all	YBL103C	RTG3
budding	YBR009C	HHF1
budding_GO_30_1_mut	YBR009C	HHF1
cell cycle	YBR009C	HHF1
cell cycle_GO_15_5_all	YBR009C	HHF1
cell cycle_GO_30_2_all	YBR009C	HHF1
chromatin	YBR009C	HHF1
chromatin organization	YBR009C	HHF1
chromatin organization_GO_30_1_mut	YBR009C	HHF1
chromatin_GO_30_3_mut	YBR009C	HHF1
chromosome	YBR009C	HHF1
chromosome_GO_30_1_mut	YBR009C	HHF1
chromosome_GO_30_2_all	YBR009C	HHF1
histone modification	YBR009C	HHF1
histone modification_GO_15_1_mut	YBR009C	HHF1
histone modification_GO_30_1_all	YBR009C	HHF1
transcription	YBR009C	HHF1
transcription and mRNA processing	YBR009C	HHF1
transcription and mRNA processing_GO_15_1_all	YBR009C	HHF1
transcription and mRNA processing_GO_30_1_all	YBR009C	HHF1
transcription from RNA polymerase II promoter	YBR009C	HHF1
transcription from RNA polymerase II promoter_GO_30_1_all	YBR009C	HHF1
transcription from RNA polymerase II promoter_GO_30_1_mut	YBR009C	HHF1
whole_library	YBR009C	HHF1
budding	YBR010W	HHT1
cell cycle	YBR010W	HHT1
cell cycle_GO_15_5_all	YBR010W	HHT1
cell cycle_GO_30_2_all	YBR010W	HHT1
cellular response to DNA damage stimulus	YBR010W	HHT1
chromatin	YBR010W	HHT1
chromatin organization	YBR010W	HHT1
chromatin_GO_30_3_mut	YBR010W	HHT1
chromosome	YBR010W	HHT1
chromosome_GO_30_1_mut	YBR010W	HHT1
chromosome_GO_30_2_all	YBR010W	HHT1
DNA repair	YBR010W	HHT1
DNA repair_GO_15_1_all	YBR010W	HHT1
whole_library	YBR010W	HHT1
endomembrane system	YBR015C	MNN2
whole_library	YBR015C	MNN2
ribosomes and translation	YBR022W	POA1
RNA processing	YBR022W	POA1
transcription and mRNA processing	YBR022W	POA1
transcription and mRNA processing_GO_30_2_all	YBR022W	POA1
whole_library	YBR022W	POA1
budding	YBR023C	CHS3
budding_GO_30_1_mut	YBR023C	CHS3
cell cycle	YBR023C	CHS3
endomembrane system	YBR023C	CHS3
endomembrane system_GO_30_3_all	YBR023C	CHS3
whole_library	YBR023C	CHS3
whole_library	YBR025C	OLA1
whole_library_30_1_all	YBR025C	OLA1
cytoplasmic translation	YBR031W	RPL4A
ribosome	YBR031W	RPL4A
ribosomes and translation	YBR031W	RPL4A
ribosomes and translation_GO_30_1_all	YBR031W	RPL4A
structural constituent of ribosome	YBR031W	RPL4A
whole_library	YBR031W	RPL4A
DNA-templated transcription, elongation	YBR034C	HMT1
nuclear transport	YBR034C	HMT1
nuclear transport and organization	YBR034C	HMT1
nuclear transport_GO_15_1_all	YBR034C	HMT1
nuclear transport_GO_15_1_mut	YBR034C	HMT1
nucleobase-containing compound transport	YBR034C	HMT1
