cluster	ORF	gene_name
chromatin	YAR003W	SWD1
chromatin organization	YAR003W	SWD1
histone modification	YAR003W	SWD1
methyltransferase activity	YAR003W	SWD1
peptidyl-amino acid modification	YAR003W	SWD1
protein alkylation	YAR003W	SWD1
telomere organization	YAR003W	SWD1
transferase activity	YAR003W	SWD1
budding	YAR014C	BUD14
cell cycle	YAR014C	BUD14
cell morphogenesis	YAR014C	BUD14
cellular bud	YAR014C	BUD14
cytokinesis	YAR014C	BUD14
cytoskeleton and microtubules	YAR014C	BUD14
cytoskeleton organization	YAR014C	BUD14
enzyme regulator activity	YAR014C	BUD14
Golgi and ER	YAR014C	BUD14
regulation of cell cycle	YAR014C	BUD14
regulation of organelle organization	YAR014C	BUD14
regulation of transport	YAR014C	BUD14
sig_Gsp1_GI	YAR014C	BUD14
site of polarized growth	YAR014C	BUD14
cell cycle	YAR018C	KIN3
chromatin	YAR018C	KIN3
chromosome segregation	YAR018C	KIN3
cytoskeleton and microtubules	YAR018C	KIN3
kinase activity	YAR018C	KIN3
protein phosphorylation	YAR018C	KIN3
sig_Gsp1_GI	YAR018C	KIN3
transferase activity	YAR018C	KIN3
budding	YBL007C	SLA1
cell cortex	YBL007C	SLA1
cellular bud	YBL007C	SLA1
cytoskeleton	YBL007C	SLA1
cytoskeleton and microtubules	YBL007C	SLA1
cytoskeleton organization	YBL007C	SLA1
endocytosis	YBL007C	SLA1
Golgi and ER	YBL007C	SLA1
protein binding, bridging	YBL007C	SLA1
sig_Gsp1_GI	YBL007C	SLA1
site of polarized growth	YBL007C	SLA1
ubiquitin-like protein binding	YBL007C	SLA1
chromatin	YBL008W	HIR1
chromatin binding	YBL008W	HIR1
chromatin organization	YBL008W	HIR1
chromosome	YBL008W	HIR1
DNA binding	YBL008W	HIR1
DNA-templated transcription, elongation	YBL008W	HIR1
transcription	YBL008W	HIR1
transcription and mRNA processing	YBL008W	HIR1
transcription factor activity, protein binding	YBL008W	HIR1
transcription from RNA polymerase II promoter	YBL008W	HIR1
endomembrane system	YBL011W	SCT1
endoplasmic reticulum	YBL011W	SCT1
ER	YBL011W	SCT1
Golgi and ER	YBL011W	SCT1
lipid metabolic process	YBL011W	SCT1
lipids	YBL011W	SCT1
metabolic	YBL011W	SCT1
transferase activity	YBL011W	SCT1
endomembrane system	YBL017C	PEP1
Golgi	YBL017C	PEP1
Golgi and ER	YBL017C	PEP1
Golgi apparatus	YBL017C	PEP1
protein targeting	YBL017C	PEP1
vacuole	YBL017C	PEP1
vacuoles	YBL017C	PEP1
cellular respiration	YBL021C	HAP3
DNA binding	YBL021C	HAP3
generation of precursor metabolites and energy	YBL021C	HAP3
metabolic	YBL021C	HAP3
mitochondria	YBL021C	HAP3
nucleic acid binding transcription factor activity	YBL021C	HAP3
transcription	YBL021C	HAP3
transcription and mRNA processing	YBL021C	HAP3
transcription from RNA polymerase II promoter	YBL021C	HAP3
methyltransferase activity	YBL024W	NCL1
response to oxidative stress	YBL024W	NCL1
ribosomes and translation	YBL024W	NCL1
RNA binding	YBL024W	NCL1
RNA modification	YBL024W	NCL1
transcription and mRNA processing	YBL024W	NCL1
transferase activity	YBL024W	NCL1
tRNA processing	YBL024W	NCL1
cytoplasmic translation	YBL027W	RPL19B
ribosome	YBL027W	RPL19B
ribosomes and translation	YBL027W	RPL19B
structural constituent of ribosome	YBL027W	RPL19B
chromatin	YBL032W	HEK2
chromosome	YBL032W	HEK2
mRNA binding	YBL032W	HEK2
RNA binding	YBL032W	HEK2
telomere organization	YBL032W	HEK2
transcription and mRNA processing	YBL032W	HEK2
cell cycle	YBL046W	PSY4
cellular response to DNA damage stimulus	YBL046W	PSY4
enzyme regulator activity	YBL046W	PSY4
protein dephosphorylation	YBL046W	PSY4
regulation of cell cycle	YBL046W	PSY4
budding	YBL047C	EDE1
cell cortex	YBL047C	EDE1
cell cycle	YBL047C	EDE1
cellular bud	YBL047C	EDE1
cytokinesis	YBL047C	EDE1
cytoskeleton	YBL047C	EDE1
cytoskeleton and microtubules	YBL047C	EDE1
endocytosis	YBL047C	EDE1
Golgi and ER	YBL047C	EDE1
regulation of cell cycle	YBL047C	EDE1
sig_Gsp1_GI	YBL047C	EDE1
site of polarized growth	YBL047C	EDE1
ubiquitin-like protein binding	YBL047C	EDE1
cell cycle	YBL051C	PIN4
cellular response to DNA damage stimulus	YBL051C	PIN4
mitotic cell cycle	YBL051C	PIN4
mRNA binding	YBL051C	PIN4
regulation of cell cycle	YBL051C	PIN4
RNA binding	YBL051C	PIN4
transcription and mRNA processing	YBL051C	PIN4
chromatin	YBL052C	SAS3
chromatin organization	YBL052C	SAS3
histone modification	YBL052C	SAS3
peptidyl-amino acid modification	YBL052C	SAS3
protein acylation	YBL052C	SAS3
transferase activity	YBL052C	SAS3
budding	YBL058W	SHP1
carbohydrate metabolic process	YBL058W	SHP1
cell cycle	YBL058W	SHP1
chromatin	YBL058W	SHP1
chromosome segregation	YBL058W	SHP1
cytoskeleton and microtubules	YBL058W	SHP1
enzyme regulator activity	YBL058W	SHP1
generation of precursor metabolites and energy	YBL058W	SHP1
meiotic cell cycle	YBL058W	SHP1
metabolic	YBL058W	SHP1
organelle assembly	YBL058W	SHP1
proteolysis involved in cellular protein catabolic process	YBL058W	SHP1
sig_Gsp1_GI	YBL058W	SHP1
sporulation	YBL058W	SHP1
vacuole organization	YBL058W	SHP1
vacuoles	YBL058W	SHP1
budding	YBL061C	SKT5
carbohydrate metabolic process	YBL061C	SKT5
cell cortex	YBL061C	SKT5
cell wall organization or biogenesis	YBL061C	SKT5
cellular bud	YBL061C	SKT5
cytoskeleton	YBL061C	SKT5
cytoskeleton and microtubules	YBL061C	SKT5
enzyme regulator activity	YBL061C	SKT5
metabolic	YBL061C	SKT5
site of polarized growth	YBL061C	SKT5
hydrolase activity	YBL067C	UBP13
peptidase activity	YBL067C	UBP13
cytoplasmic translation	YBL072C	RPS8A
ribosomal small subunit biogenesis	YBL072C	RPS8A
ribosome	YBL072C	RPS8A
ribosomes and translation	YBL072C	RPS8A
rRNA processing	YBL072C	RPS8A
structural constituent of ribosome	YBL072C	RPS8A
transcription and mRNA processing	YBL072C	RPS8A
hydrolase activity	YBL075C	SSA3
protein folding	YBL075C	SSA3
protein targeting	YBL075C	SSA3
proteolysis involved in cellular protein catabolic process	YBL075C	SSA3
transmembrane transport	YBL075C	SSA3
unfolded protein binding	YBL075C	SSA3
Golgi	YBL078C	ATG8
Golgi and ER	YBL078C	ATG8
Golgi vesicle transport	YBL078C	ATG8
membrane fusion	YBL078C	ATG8
mitochondria	YBL078C	ATG8
mitochondrion organization	YBL078C	ATG8
organelle assembly	YBL078C	ATG8
protein targeting	YBL078C	ATG8
vacuole	YBL078C	ATG8
vacuole organization	YBL078C	ATG8
vacuoles	YBL078C	ATG8
cell cycle	YBL079W	NUP170
chromatin	YBL079W	NUP170
chromatin binding	YBL079W	NUP170
chromatin organization	YBL079W	NUP170
chromosome segregation	YBL079W	NUP170
cytoskeleton and microtubules	YBL079W	NUP170
endomembrane system	YBL079W	NUP170
nuclear transport	YBL079W	NUP170
nuclear transport and organization	YBL079W	NUP170
nucleus organization	YBL079W	NUP170
protein targeting	YBL079W	NUP170
sig_Gsp1_GI	YBL079W	NUP170
endomembrane system	YBL082C	ALG3
endoplasmic reticulum	YBL082C	ALG3
ER	YBL082C	ALG3
Golgi and ER	YBL082C	ALG3
lipid metabolic process	YBL082C	ALG3
lipids	YBL082C	ALG3
metabolic	YBL082C	ALG3
protein glycosylation	YBL082C	ALG3
transferase activity	YBL082C	ALG3
transferase activity, transferring glycosyl groups	YBL082C	ALG3
budding	YBL085W	BOI1
cell budding	YBL085W	BOI1
cellular bud	YBL085W	BOI1
lipid binding	YBL085W	BOI1
lipids	YBL085W	BOI1
plasma membrane	YBL085W	BOI1
site of polarized growth	YBL085W	BOI1
cytoplasmic translation	YBL087C	RPL23A
ribosome	YBL087C	RPL23A
ribosomes and translation	YBL087C	RPL23A
structural constituent of ribosome	YBL087C	RPL23A
cellular response to DNA damage stimulus	YBL088C	TEL1
chromatin	YBL088C	TEL1
chromatin organization	YBL088C	TEL1
DNA binding	YBL088C	TEL1
DNA repair	YBL088C	TEL1
histone modification	YBL088C	TEL1
kinase activity	YBL088C	TEL1
mitochondria	YBL088C	TEL1
mitochondrion	YBL088C	TEL1
protein phosphorylation	YBL088C	TEL1
telomere organization	YBL088C	TEL1
transferase activity	YBL088C	TEL1
endocytosis	YBL101C	ECM21
enzyme binding	YBL101C	ECM21
Golgi and ER	YBL101C	ECM21
DNA binding	YBL103C	RTG3
mitochondria	YBL103C	RTG3
mitochondrion organization	YBL103C	RTG3
nuclear transport	YBL103C	RTG3
nuclear transport and organization	YBL103C	RTG3
nucleic acid binding transcription factor activity	YBL103C	RTG3
protein targeting	YBL103C	RTG3
transcription	YBL103C	RTG3
transcription and mRNA processing	YBL103C	RTG3
transcription factor binding	YBL103C	RTG3
transcription from RNA polymerase II promoter	YBL103C	RTG3
budding	YBR009C	HHF1
cell cycle	YBR009C	HHF1
chromatin	YBR009C	HHF1
chromatin organization	YBR009C	HHF1
chromosome	YBR009C	HHF1
DNA binding	YBR009C	HHF1
histone modification	YBR009C	HHF1
meiotic cell cycle	YBR009C	HHF1
peptidyl-amino acid modification	YBR009C	HHF1
protein alkylation	YBR009C	HHF1
sporulation	YBR009C	HHF1
transcription	YBR009C	HHF1
transcription and mRNA processing	YBR009C	HHF1
transcription from RNA polymerase II promoter	YBR009C	HHF1
budding	YBR010W	HHT1
cell cycle	YBR010W	HHT1
cellular response to DNA damage stimulus	YBR010W	HHT1
chromatin	YBR010W	HHT1
chromatin organization	YBR010W	HHT1
chromosome	YBR010W	HHT1
DNA binding	YBR010W	HHT1
DNA repair	YBR010W	HHT1
meiotic cell cycle	YBR010W	HHT1
sporulation	YBR010W	HHT1
endomembrane system	YBR015C	MNN2
Golgi	YBR015C	MNN2
Golgi and ER	YBR015C	MNN2
Golgi apparatus	YBR015C	MNN2
protein glycosylation	YBR015C	MNN2
transferase activity	YBR015C	MNN2
transferase activity, transferring glycosyl groups	YBR015C	MNN2
hydrolase activity	YBR022W	POA1
hydrolase activity, acting on glycosyl bonds	YBR022W	POA1
phosphatase activity	YBR022W	POA1
ribosomes and translation	YBR022W	POA1
RNA processing	YBR022W	POA1
RNA splicing	YBR022W	POA1
transcription and mRNA processing	YBR022W	POA1
tRNA processing	YBR022W	POA1
budding	YBR023C	CHS3
carbohydrate metabolic process	YBR023C	CHS3
cell cycle	YBR023C	CHS3
cell wall organization or biogenesis	YBR023C	CHS3
cellular bud	YBR023C	CHS3
cytoplasmic vesicle	YBR023C	CHS3
endomembrane system	YBR023C	CHS3
endoplasmic reticulum	YBR023C	CHS3
ER	YBR023C	CHS3
Golgi and ER	YBR023C	CHS3
meiotic cell cycle	YBR023C	CHS3
metabolic	YBR023C	CHS3
site of polarized growth	YBR023C	CHS3
sporulation	YBR023C	CHS3
transferase activity	YBR023C	CHS3
transferase activity, transferring glycosyl groups	YBR023C	CHS3
hydrolase activity	YBR025C	OLA1
cytoplasmic translation	YBR031W	RPL4A
ribosome	YBR031W	RPL4A
ribosomes and translation	YBR031W	RPL4A
structural constituent of ribosome	YBR031W	RPL4A
DNA-templated transcription, elongation	YBR034C	HMT1
DNA-templated transcription, termination	YBR034C	HMT1
methyltransferase activity	YBR034C	HMT1
nuclear transport	YBR034C	HMT1
nuclear transport and organization	YBR034C	HMT1
nucleobase-containing compound transport	YBR034C	HMT1
peptidyl-amino acid modification	YBR034C	HMT1
protein alkylation	YBR034C	HMT1
transcription	YBR034C	HMT1
transcription and mRNA processing	YBR034C	HMT1
transcription from RNA polymerase II promoter	YBR034C	HMT1
transferase activity	YBR034C	HMT1
cellular ion homeostasis	YBR036C	CSG2
endomembrane system	YBR036C	CSG2
endoplasmic reticulum	YBR036C	CSG2
enzyme regulator activity	YBR036C	CSG2
ER	YBR036C	CSG2
Golgi and ER	YBR036C	CSG2
lipid metabolic process	YBR036C	CSG2
lipids	YBR036C	CSG2
metabolic	YBR036C	CSG2
sig_Gsp1_GI	YBR036C	CSG2
vacuole	YBR036C	CSG2
vacuoles	YBR036C	CSG2
endomembrane system	YBR041W	FAT1
endoplasmic reticulum	YBR041W	FAT1
ER	YBR041W	FAT1
Golgi and ER	YBR041W	FAT1
ion transport	YBR041W	FAT1
ligase activity	YBR041W	FAT1
lipid metabolic process	YBR041W	FAT1
lipid transport	YBR041W	FAT1
lipids	YBR041W	FAT1
metabolic	YBR041W	FAT1
monocarboxylic acid metabolic process	YBR041W	FAT1
peroxisome	YBR041W	FAT1
peroxisomes	YBR041W	FAT1
plasma membrane	YBR041W	FAT1
vacuole	YBR041W	FAT1
vacuoles	YBR041W	FAT1
budding	YBR057C	MUM2
cell cycle	YBR057C	MUM2
DNA replication	YBR057C	MUM2
meiotic cell cycle	YBR057C	MUM2
organelle fission	YBR057C	MUM2
pseudohyphal growth	YBR057C	MUM2
RNA modification	YBR057C	MUM2
transcription and mRNA processing	YBR057C	MUM2
carbohydrate metabolic process	YBR058C	UBP14
hydrolase activity	YBR058C	UBP14
metabolic	YBR058C	UBP14
peptidase activity	YBR058C	UBP14
proteolysis involved in cellular protein catabolic process	YBR058C	UBP14
cytoplasmic translation	YBR061C	TRM7
methyltransferase activity	YBR061C	TRM7
ribosomes and translation	YBR061C	TRM7
RNA modification	YBR061C	TRM7
transcription and mRNA processing	YBR061C	TRM7
transferase activity	YBR061C	TRM7
tRNA processing	YBR061C	TRM7
mRNA processing	YBR065C	ECM2
RNA processing	YBR065C	ECM2
RNA splicing	YBR065C	ECM2
transcription and mRNA processing	YBR065C	ECM2
amino acid transport	YBR069C	TAT1
endomembrane system	YBR069C	TAT1
endoplasmic reticulum	YBR069C	TAT1
ER	YBR069C	TAT1
Golgi and ER	YBR069C	TAT1
ion transport	YBR069C	TAT1
plasma membrane	YBR069C	TAT1
transmembrane transport	YBR069C	TAT1
transmembrane transporter activity	YBR069C	TAT1
budding	YBR073W	RDH54
cell cycle	YBR073W	RDH54
cellular response to DNA damage stimulus	YBR073W	RDH54
chromatin	YBR073W	RDH54
chromosome segregation	YBR073W	RDH54
cytoskeleton and microtubules	YBR073W	RDH54
DNA binding	YBR073W	RDH54
DNA recombination	YBR073W	RDH54
DNA repair	YBR073W	RDH54
hydrolase activity	YBR073W	RDH54
meiotic cell cycle	YBR073W	RDH54
organelle fission	YBR073W	RDH54
cell wall	YBR078W	ECM33
cell wall organization or biogenesis	YBR078W	ECM33
endomembrane system	YBR078W	ECM33
endoplasmic reticulum	YBR078W	ECM33
ER	YBR078W	ECM33
Golgi and ER	YBR078W	ECM33
mitochondria	YBR078W	ECM33
mitochondrion	YBR078W	ECM33
plasma membrane	YBR078W	ECM33
protein binding, bridging	YBR082C	UBC4
protein modification by small protein conjugation or removal	YBR082C	UBC4
proteolysis involved in cellular protein catabolic process	YBR082C	UBC4
response to heat	YBR082C	UBC4
transferase activity	YBR082C	UBC4
ubiquitin-like protein binding	YBR082C	UBC4
DNA binding	YBR083W	TEC1
invasive growth in response to glucose limitation	YBR083W	TEC1
nucleic acid binding transcription factor activity	YBR083W	TEC1
pseudohyphal growth	YBR083W	TEC1
transcription	YBR083W	TEC1
transcription and mRNA processing	YBR083W	TEC1
transcription factor activity, protein binding	YBR083W	TEC1
transcription from RNA polymerase II promoter	YBR083W	TEC1
transposition	YBR083W	TEC1
cell wall	YBR093C	PHO5
hydrolase activity	YBR093C	PHO5
phosphatase activity	YBR093C	PHO5
response to starvation	YBR093C	PHO5
sig_Gsp1_GI	YBR094W	PBY1
chromatin	YBR095C	RXT2
chromatin organization	YBR095C	RXT2
chromosome	YBR095C	RXT2
conjugation	YBR095C	RXT2
hydrolase activity	YBR095C	RXT2
invasive growth in response to glucose limitation	YBR095C	RXT2
sig_Gsp1_GI	YBR095C	RXT2
transcription	YBR095C	RXT2
transcription and mRNA processing	YBR095C	RXT2
transcription from RNA polymerase II promoter	YBR095C	RXT2
budding	YBR098W	MMS4
cell cycle	YBR098W	MMS4
cellular response to DNA damage stimulus	YBR098W	MMS4
chromatin	YBR098W	MMS4
chromosome segregation	YBR098W	MMS4
cytoskeleton and microtubules	YBR098W	MMS4
DNA recombination	YBR098W	MMS4
DNA repair	YBR098W	MMS4
hydrolase activity	YBR098W	MMS4
meiotic cell cycle	YBR098W	MMS4
metabolic	YBR098W	MMS4
nuclease activity	YBR098W	MMS4
organelle fission	YBR098W	MMS4
regulation of cell cycle	YBR098W	MMS4
regulation of DNA metabolic process	YBR098W	MMS4
regulation of organelle organization	YBR098W	MMS4
budding	YBR103W	SIF2
cell cycle	YBR103W	SIF2
chromatin	YBR103W	SIF2
chromatin organization	YBR103W	SIF2
chromosome	YBR103W	SIF2
histone modification	YBR103W	SIF2
meiotic cell cycle	YBR103W	SIF2
organelle fission	YBR103W	SIF2
protein phosphorylation	YBR103W	SIF2
regulation of cell cycle	YBR103W	SIF2
regulation of organelle organization	YBR103W	SIF2
regulation of protein modification process	YBR103W	SIF2
sig_Gsp1_GI	YBR103W	SIF2
endomembrane system	YBR106W	PHO88
endoplasmic reticulum	YBR106W	PHO88
ER	YBR106W	PHO88
Golgi and ER	YBR106W	PHO88
ion transport	YBR106W	PHO88
mitochondria	YBR106W	PHO88
mitochondrion	YBR106W	PHO88
protein maturation	YBR106W	PHO88
budding	YBR107C	IML3
cell cycle	YBR107C	IML3
chromatin	YBR107C	IML3
chromosome	YBR107C	IML3
chromosome segregation	YBR107C	IML3
cytoskeleton and microtubules	YBR107C	IML3
meiotic cell cycle	YBR107C	IML3
mitotic cell cycle	YBR107C	IML3
organelle fission	YBR107C	IML3
sig_Gsp1_GI	YBR107C	IML3
sporulation	YBR107C	IML3
cell cortex	YBR108W	AIM3
cytoskeleton	YBR108W	AIM3
cytoskeleton and microtubules	YBR108W	AIM3
cytoskeleton organization	YBR108W	AIM3
regulation of organelle organization	YBR108W	AIM3
cellular response to DNA damage stimulus	YBR114W	RAD16
DNA binding	YBR114W	RAD16
DNA repair	YBR114W	RAD16
hydrolase activity	YBR114W	RAD16
protein modification by small protein conjugation or removal	YBR114W	RAD16
proteolysis involved in cellular protein catabolic process	YBR114W	RAD16
transferase activity	YBR114W	RAD16
mRNA processing	YBR119W	MUD1
RNA binding	YBR119W	MUD1
RNA processing	YBR119W	MUD1
RNA splicing	YBR119W	MUD1
transcription and mRNA processing	YBR119W	MUD1
hydrolase activity	YBR125C	PTC4
phosphatase activity	YBR125C	PTC4
protein dephosphorylation	YBR125C	PTC4
carbohydrate metabolic process	YBR126C	TPS1
metabolic	YBR126C	TPS1
oligosaccharide metabolic process	YBR126C	TPS1
response to heat	YBR126C	TPS1
response to oxidative stress	YBR126C	TPS1
sig_Gsp1_GI	YBR126C	TPS1
transferase activity	YBR126C	TPS1
transferase activity, transferring glycosyl groups	YBR126C	TPS1
cytoplasmic vesicle	YBR131W	CCZ1
endomembrane system	YBR131W	CCZ1
guanyl-nucleotide exchange factor activity	YBR131W	CCZ1
lipid binding	YBR131W	CCZ1
lipids	YBR131W	CCZ1
organelle fusion	YBR131W	CCZ1
protein targeting	YBR131W	CCZ1
vacuole organization	YBR131W	CCZ1
vacuoles	YBR131W	CCZ1
endomembrane system	YBR132C	AGP2
endoplasmic reticulum	YBR132C	AGP2
ER	YBR132C	AGP2
Golgi and ER	YBR132C	AGP2
ion transport	YBR132C	AGP2
plasma membrane	YBR132C	AGP2
regulation of transport	YBR132C	AGP2
transmembrane transport	YBR132C	AGP2
vacuole	YBR132C	AGP2
vacuoles	YBR132C	AGP2
methyltransferase activity	YBR141C	BMT2
